"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Growth Change"
"02/21/2021 00:21:12:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","[step]","growth"
"7","160","78","-0.3970037453183521"
"8","170","58","-0.39436619718309857"
"3","120","74","-0.4"
"5","140","92","-0.5112107623318386"
"2","110","83","-0.5287356321839081"
"4","130","68","-0.4074074074074074"
"1","100","72","-0.40963855421686746"
"7","160","79","-0.3970037453183521"
"8","170","59","-0.39436619718309857"
"6","150","70","-0.38095238095238093"
"5","140","93","-0.5112107623318386"
"3","120","75","-0.4"
"2","110","84","-0.5287356321839081"
"4","130","69","-0.4074074074074074"
"1","100","73","-0.40963855421686746"
"7","160","80","-0.3970037453183521"
"8","170","60","-0.39436619718309857"
"4","130","70","-0.4074074074074074"
"6","150","71","-0.38095238095238093"
"5","140","94","-0.5112107623318386"
"2","110","85","-0.5287356321839081"
"7","160","81","-0.3970037453183521"
"3","120","76","-0.4"
"8","170","61","-0.39436619718309857"
"1","100","74","-0.40963855421686746"
"4","130","71","-0.4074074074074074"
"5","140","95","-0.5112107623318386"
"6","150","72","-0.38095238095238093"
"2","110","86","-0.5287356321839081"
"7","160","82","-0.3970037453183521"
"3","120","77","-0.4"
"5","140","96","-0.5112107623318386"
"8","170","62","-0.39436619718309857"
"1","100","75","-0.40963855421686746"
"4","130","72","-0.4074074074074074"
"2","110","87","-0.5287356321839081"
"6","150","73","-0.38095238095238093"
"7","160","83","-0.3970037453183521"
"3","120","78","-0.4"
"5","140","97","-0.5112107623318386"
"2","110","88","-0.5287356321839081"
"4","130","73","-0.4074074074074074"
"1","100","76","-0.40963855421686746"
"7","160","84","-0.3970037453183521"
"8","170","63","-0.39436619718309857"
"3","120","79","-0.4"
"6","150","74","-0.38095238095238093"
"5","140","98","-0.5112107623318386"
"4","130","74","-0.4074074074074074"
"2","110","89","-0.5287356321839081"
"7","160","85","-0.3970037453183521"
"8","170","64","-0.39436619718309857"
"1","100","77","-0.40963855421686746"
"3","120","80","-0.4"
"5","140","99","-0.5112107623318386"
"4","130","75","-0.4074074074074074"
"2","110","90","-0.5287356321839081"
"7","160","86","-0.3970037453183521"
"6","150","75","-0.38095238095238093"
"3","120","81","-0.4"
"8","170","65","-0.39436619718309857"
"5","140","100","-0.5112107623318386"
"1","100","78","-0.40963855421686746"
"4","130","76","-0.4074074074074074"
"7","160","87","-0.3970037453183521"
"2","110","91","-0.5287356321839081"
"3","120","82","-0.4"
"8","170","66","-0.39436619718309857"
"1","100","79","-0.40963855421686746"
"6","150","76","-0.38095238095238093"
"4","130","77","-0.4074074074074074"
"7","160","88","-0.3970037453183521"
"2","110","92","-0.5287356321839081"
"8","170","67","-0.39436619718309857"
"4","130","78","-0.4074074074074074"
"7","160","89","-0.3970037453183521"
"3","120","83","-0.4"
"2","110","93","-0.5287356321839081"
"6","150","77","-0.38095238095238093"
"1","100","80","-0.40963855421686746"
"4","130","79","-0.4074074074074074"
"2","110","94","-0.5287356321839081"
"7","160","90","-0.3970037453183521"
"8","170","68","-0.39436619718309857"
"3","120","84","-0.4"
"6","150","78","-0.38095238095238093"
"1","100","81","-0.40963855421686746"
"2","110","95","-0.5287356321839081"
"4","130","80","-0.4074074074074074"
"7","160","91","-0.3970037453183521"
"8","170","69","-0.39436619718309857"
"3","120","85","-0.4"
"7","160","92","-0.3970037453183521"
"1","100","82","-0.40963855421686746"
"6","150","79","-0.38095238095238093"
"8","170","70","-0.39436619718309857"
"7","160","93","-0.3970037453183521"
"4","130","81","-0.4074074074074074"
"2","110","96","-0.5287356321839081"
"3","120","86","-0.4"
"2","110","97","-0.5287356321839081"
"7","160","94","-0.3970037453183521"
"1","100","83","-0.40963855421686746"
"4","130","82","-0.4074074074074074"
"8","170","71","-0.39436619718309857"
"3","120","87","-0.4"
"6","150","80","-0.38095238095238093"
"7","160","95","-0.3970037453183521"
"4","130","83","-0.4074074074074074"
"2","110","98","-0.5287356321839081"
"3","120","88","-0.4"
"9","180","0","0"
"1","100","84","-0.40963855421686746"
"8","170","72","-0.39436619718309857"
"6","150","81","-0.38095238095238093"
"2","110","99","-0.5287356321839081"
"7","160","96","-0.3970037453183521"
"3","120","89","-0.4"
"4","130","84","-0.4074074074074074"
"9","180","1","0"
"2","110","100","-0.5287356321839081"
"1","100","85","-0.40963855421686746"
"6","150","82","-0.38095238095238093"
"8","170","73","-0.39436619718309857"
"3","120","90","-0.4"
"7","160","97","-0.3970037453183521"
"4","130","85","-0.4074074074074074"
"6","150","83","-0.38095238095238093"
"1","100","86","-0.40963855421686746"
"8","170","74","-0.39436619718309857"
"9","180","2","-0.0111731843575419"
"3","120","91","-0.4"
"7","160","98","-0.3970037453183521"
"4","130","86","-0.4074074074074074"
"1","100","87","-0.40963855421686746"
"6","150","84","-0.38095238095238093"
"8","170","75","-0.39436619718309857"
"3","120","92","-0.4"
"7","160","99","-0.3970037453183521"
"4","130","87","-0.4074074074074074"
"9","180","3","-0.039660056657223795"
"1","100","88","-0.40963855421686746"
"7","160","100","-0.3970037453183521"
"3","120","93","-0.4"
"6","150","85","-0.38095238095238093"
"8","170","76","-0.39436619718309857"
"4","130","88","-0.4074074074074074"
"1","100","89","-0.40963855421686746"
"3","120","94","-0.4"
"9","180","4","-0.06303724928366762"
"6","150","86","-0.38095238095238093"
"4","130","89","-0.4074074074074074"
"8","170","77","-0.39436619718309857"
"1","100","90","-0.40963855421686746"
"3","120","95","-0.4"
"6","150","87","-0.38095238095238093"
"4","130","90","-0.4074074074074074"
"1","100","91","-0.40963855421686746"
"8","170","78","-0.39436619718309857"
"9","180","5","-0.09912536443148688"
"3","120","96","-0.4"
"6","150","88","-0.38095238095238093"
"4","130","91","-0.4074074074074074"
"3","120","97","-0.4"
"8","170","79","-0.39436619718309857"
"1","100","92","-0.40963855421686746"
"6","150","89","-0.38095238095238093"
"9","180","6","-0.11143695014662756"
"4","130","92","-0.4074074074074074"
"3","120","98","-0.4"
"8","170","80","-0.39436619718309857"
"1","100","93","-0.40963855421686746"
"6","150","90","-0.38095238095238093"
"4","130","93","-0.4074074074074074"
"3","120","99","-0.4"
"9","180","7","-0.14285714285714285"
"8","170","81","-0.39436619718309857"
"1","100","94","-0.40963855421686746"
"6","150","91","-0.38095238095238093"
"3","120","100","-0.4"
"4","130","94","-0.4074074074074074"
"8","170","82","-0.39436619718309857"
"1","100","95","-0.40963855421686746"
"6","150","92","-0.38095238095238093"
"9","180","8","-0.16216216216216217"
"4","130","95","-0.4074074074074074"
