"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:27:41:987 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"149","840","20","color-agents-by-vision","400","500","728.4021352313167","666","456.10014391703356"
"150","840","20","color-agents-by-vision","400","500","775.3957597173145","758","476.4388497704702"
"151","850","20","color-agents-by-vision","400","500","794.8185185185185","742.5","485.08470155791275"
"152","850","20","color-agents-by-vision","400","500","750.8705035971223","716","485.207221867206"
"153","860","20","color-agents-by-vision","400","500","814.9097222222222","817","491.6243773521522"
"154","860","20","color-agents-by-vision","400","500","794.0714285714286","765","514.0033464499282"
"155","870","20","color-agents-by-vision","400","500","759.9462365591398","749","482.63033872901616"
"156","870","20","color-agents-by-vision","400","500","792.5313653136532","760","487.7000272761589"
"157","880","20","color-agents-by-vision","400","500","782.4460431654676","731.5","485.52599297867994"
"158","880","20","color-agents-by-vision","400","500","722.0646258503401","634","491.5366785799915"
"159","890","20","color-agents-by-vision","400","500","762.9454545454546","710","481.36158079606827"
"160","890","20","color-agents-by-vision","400","500","805.6607142857143","796.5","479.01913209917905"
"161","900","20","color-agents-by-vision","400","500","792.480701754386","742","501.1294256085682"
"162","900","20","color-agents-by-vision","400","500","812.5563139931741","777","510.3661401279542"
"163","910","20","color-agents-by-vision","400","500","782.9351535836178","730","484.5420792897756"
"164","910","20","color-agents-by-vision","400","500","784.198606271777","755","510.8227823453901"
"165","920","20","color-agents-by-vision","400","500","818.2350877192982","774","489.6943544052225"
"166","920","20","color-agents-by-vision","400","500","763.1861313868613","711.5","497.37205915511817"
"167","930","20","color-agents-by-vision","400","500","795.2275862068966","744","507.735507867207"
"168","930","20","color-agents-by-vision","400","500","772.9311594202899","710","514.0486276680233"
"169","940","20","color-agents-by-vision","400","500","777.0957446808511","702","495.4961797127619"
"170","940","20","color-agents-by-vision","400","500","806.2877192982456","812","496.09361482748085"
"171","950","20","color-agents-by-vision","400","500","834.6666666666666","790","495.91568070523664"
"172","950","20","color-agents-by-vision","400","500","806.1903114186852","780","516.5004454824635"
"173","960","20","color-agents-by-vision","400","500","758.1166077738516","709","489.3788839214136"
"174","960","20","color-agents-by-vision","400","500","867.0243055555555","847","526.6005396190191"
"175","970","20","color-agents-by-vision","400","500","776.5902777777778","745.5","509.38279812641935"
"176","970","20","color-agents-by-vision","400","500","778.1111111111111","743.5","513.3162063299688"
"177","980","20","color-agents-by-vision","400","500","805.3851590106007","756","507.45296752216257"
"178","980","20","color-agents-by-vision","400","500","771.943661971831","739.5","496.7202150907781"
"179","990","20","color-agents-by-vision","400","500","840.9337979094076","832","496.0789954511612"
"180","990","20","color-agents-by-vision","400","500","817.796052631579","813","515.4344809408685"
"181","1000","20","color-agents-by-vision","400","500","856.3250883392226","861","491.1481485986579"
"182","1000","20","color-agents-by-vision","400","500","819.8566176470588","806.5","506.8024768914922"
