"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:18:41:687 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"173","960","20","color-agents-by-vision","400","500","824.8057553956835","812","506.8439314000717"
"174","960","20","color-agents-by-vision","400","500","800.4604810996564","778","493.03090864685873"
"175","970","20","color-agents-by-vision","400","500","790.548275862069","774","508.6614696838769"
"176","970","20","color-agents-by-vision","400","500","798.3811188811189","745","509.9227855481648"
"177","980","20","color-agents-by-vision","400","500","804.5298245614035","740","510.4595726791282"
"178","980","20","color-agents-by-vision","400","500","788.9656357388316","730","506.483010765747"
"179","990","20","color-agents-by-vision","400","500","808.0406779661017","761","507.6898375275898"
"180","990","20","color-agents-by-vision","400","500","789.083044982699","757","472.455516743965"
"181","1000","20","color-agents-by-vision","400","500","778.076124567474","677","515.4817539247855"
"182","1000","20","color-agents-by-vision","400","500","783.9550173010381","734","509.4945357874888"
