"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/29/2024 00:25:42:701 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"6","6","100","232","0.3751088194568872","0.97"
"8","6","200","192","0.3589016515877268","0.985"
"3","6","100","268","0.3854354075197001","0.98"
"2","6","100","268","0.4315063898299399","0.98"
"5","6","100","236","0.3708162786606463","1"
"4","6","100","260","0.39547947332717615","0.98"
"7","6","200","168","0.46640839138876167","0.995"
"6","6","100","236","0.40316704995282565","0.97"
"2","6","100","272","0.4097985450654912","0.98"
"3","6","100","272","0.3885144590380531","0.98"
"5","6","100","240","0.412704776520238","1"
"8","6","200","196","0.3360430570625922","0.98"
"4","6","100","264","0.3580099286798124","0.98"
"6","6","100","240","0.40254329768522673","0.97"
"2","6","100","276","0.3918152858652218","0.98"
"3","6","100","276","0.3943016506794736","0.98"
"7","6","200","172","0.500252372975991","0.995"
"5","6","100","244","0.4322673810768424","1"
"6","6","100","244","0.4261518901254076","0.97"
"8","6","200","200","0.3161954876310107","0.98"
"2","6","100","280","0.3762365808082658","0.98"
"4","6","100","268","0.3448955684692082","0.98"
"3","6","100","280","0.37432086066590337","0.98"
"5","6","100","248","0.4202036372950819","1"
"6","6","100","248","0.4442560242134955","0.97"
"7","6","200","176","0.49450932699014544","0.99"
"8","6","200","204","0.3124794191584544","0.98"
"2","6","100","284","0.3598660700705862","0.98"
"4","6","100","272","0.32966877227081315","0.98"
"3","6","100","284","0.35648023481699137","0.97"
"5","6","100","252","0.4538484096548611","1"
"6","6","100","252","0.427822585671724","0.97"
"2","6","100","288","0.3392647955638128","0.98"
"4","6","100","276","0.31659381116198065","0.98"
"3","6","100","288","0.3654410150328736","0.97"
"8","6","200","208","0.30880794047562893","0.98"
"7","6","200","180","0.4563148636299098","0.985"
"5","6","100","256","0.4301038361695991","1"
"6","6","100","256","0.42705892905738735","0.97"
"2","6","100","292","0.32876872305405247","0.98"
"3","6","100","292","0.37197184373788045","0.97"
"4","6","100","280","0.3098595421608218","0.98"
"8","6","200","212","0.3088608284456801","0.98"
"2","6","100","296","0.3170066325892618","0.98"
"7","6","200","184","0.40879917845246844","0.985"
"5","6","100","260","0.42218459248232226","1"
"6","6","100","260","0.4162835955869054","0.97"
"3","6","100","296","0.3651968748579652","0.97"
"1","6","100","40","0.21570927013706026","1"
"4","6","100","284","0.31695154227291017","0.98"
"2","6","100","300","0.31896725109316143","0.98"
"8","6","200","216","0.30758771900506027","0.98"
"3","6","100","300","0.3580031088155133","0.97"
"5","6","100","264","0.4179185310908809","1"
"6","6","100","264","0.42739522552878034","0.97"
"4","6","100","288","0.3007001963965503","0.98"
"7","6","200","188","0.3769163563214154","0.985"
"2","6","100","304","0.3221401390613242","0.98"
"6","6","100","268","0.3969866610309893","0.97"
"3","6","100","304","0.3607790843985718","0.97"
"5","6","100","268","0.40018496596626235","1"
"8","6","200","220","0.3289052779456818","0.98"
"4","6","100","292","0.2992238495762024","0.98"
"2","6","100","308","0.32299770841744335","0.98"
"7","6","200","192","0.3477907400520179","0.985"
"6","6","100","272","0.3901087356006071","0.97"
"5","6","100","272","0.38116446233467527","1"
"3","6","100","308","0.36031271348035687","0.97"
"4","6","100","296","0.29411196837492815","0.98"
"8","6","200","224","0.33921290270280524","0.98"
"2","6","100","312","0.33529875555682787","0.98"
"7","6","200","196","0.32724964680582486","0.985"
"6","6","100","276","0.3617481250156772","0.97"
"3","6","100","312","0.35134971895797407","0.97"
"5","6","100","276","0.38009886699862866","1"
"4","6","100","300","0.31786007353332973","0.98"
"2","6","100","316","0.38247519081459275","0.98"
"8","6","200","228","0.35675772204661027","0.98"
"3","6","100","316","0.3451804479292871","0.97"
"5","6","100","280","0.3636611444789121","1"
"4","6","100","304","0.3637849531287558","0.98"
"6","6","100","280","0.3568683575027274","0.97"
"7","6","200","200","0.318326798351844","0.985"
"2","6","100","320","0.3791847794725806","0.98"
"5","6","100","284","0.3474011160851169","1"
"6","6","100","284","0.34180460954322134","0.97"
"3","6","100","320","0.3532182560965113","0.97"
"4","6","100","308","0.3932157348390853","0.98"
"8","6","200","232","0.38517121087547745","0.98"
"7","6","200","204","0.3039449126870382","0.985"
"2","6","100","324","0.3998731359979515","0.98"
"5","6","100","288","0.34777791066196284","1"
"3","6","100","324","0.35317489651094025","0.96"
"6","6","100","288","0.3397032764919694","0.97"
"4","6","100","312","0.42045111411911673","0.98"
"2","6","100","328","0.4128717703209686","0.98"
"8","6","200","236","0.4108904495407395","0.98"
"5","6","100","292","0.3418180388877872","0.99"
"3","6","100","328","0.3607509220839092","0.96"
"6","6","100","292","0.34744274379065926","0.97"
"4","6","100","316","0.44245215104538693","0.98"
"2","6","100","332","0.41289778769812435","0.98"
"5","6","100","296","0.3339229846816875","0.99"
